OTU_ID,L1S105,L1S140,L1S208,L1S257,L1S281,L1S57,L1S76,L1S8,L2S155,L2S175
4b5eeb300368260019c1fbc7a3c718fc,2222,0,0,0,0,2829,3327,2613,13,10
fe30ff0f71a38a39cf1717ec2be3a2fc,5,0,0,0,0,0,0,0,0,0
d29fe3c70564fc0f69f2c03e0d1e5561,0,0,0,0,0,0,0,0,359,778
868528ca947bc57b69ffdf83e6b73bae,0,2276,2156,1205,1772,0,0,0,0,0
154709e160e8cada6bfb21115acc80f5,812,1176,713,407,242,1084,929,1622,0,0
1d2e5f3444ca750c85302ceee2473331,0,0,5,0,0,0,0,5,27,51
0305a4993ecf2d8ef4149fdfc7592603,1198,647,964,919,532,415,334,243,0,0
cb2fe0146e2fbcb101050edb996a0ee2,0,0,0,9,0,0,0,0,82,230
997056ba80681bbbdd5d09aa591eadc0,0,0,0,0,0,0,0,3,0,10
9079bfebcce01d4b5c758067b1208c31,0,0,0,0,0,0,0,0,13,30
3c9c437f27aca05f8db167cd080ff1ec,0,0,0,0,0,0,0,0,0,0
bfbed36e63b69fec4627424163d20118,298,703,372,174,322,107,297,130,0,7
90d32ffe026535b392c0bad850f213c4,616,0,65,12,237,593,609,0,0,0
ab4ef4399912b0507d8d1187e874684d,0,0,0,0,0,0,0,0,0,19
d86ef5d6394f5dbeb945f39aa25e7426,147,243,143,95,86,482,153,536,0,0
a049763053c277b16c2a318f41eb23b4,0,0,0,0,0,0,0,0,131,868
699071a4a7ce68918e4cd93a61275ecd,0,0,0,0,0,0,0,0,0,44
cdd14cce4ec44b3235923652b71e947e,0,305,476,314,404,0,0,0,0,0
7e598ad34909a3fb8ff1623f1ede11a6,0,0,0,0,0,0,0,0,165,293
