"sampleid","otus","bodysite"
"L1S57",2829,"gut"
"L1S57",1084,"gut"
"L1S57",415,"gut"
"L1S57",107,"gut"
"L1S57",593,"gut"
"L1S57",482,"gut"
"L1S57",5,"gut"
"L1S57",103,"gut"
"L1S57",101,"gut"
"L1S57",219,"gut"
"L1S57",32,"gut"
"L1S57",170,"gut"
"L1S57",103,"gut"
"L1S57",141,"gut"
"L1S57",24,"gut"
"L1S57",188,"gut"
"L1S57",120,"gut"
"L1S57",171,"gut"
"L1S57",35,"gut"
"L1S57",125,"gut"
"L1S57",165,"gut"
"L1S57",73,"gut"
"L1S57",48,"gut"
"L1S257",1205,"gut"
"L1S257",407,"gut"
"L1S257",919,"gut"
"L1S257",9,"gut"
"L1S257",174,"gut"
"L1S257",12,"gut"
"L1S257",95,"gut"
"L1S257",314,"gut"
"L1S257",2,"gut"
"L1S257",137,"gut"
"L1S257",126,"gut"
"L1S257",295,"gut"
"L1S257",6,"gut"
"L1S257",186,"gut"
"L1S257",386,"gut"
"L1S257",54,"gut"
"L1S257",14,"gut"
"L1S257",75,"gut"
"L1S257",220,"gut"
"L1S257",14,"gut"
"L1S257",210,"gut"
"L1S257",79,"gut"
"L1S257",27,"gut"
"L1S257",206,"gut"
"L1S257",122,"gut"
"L1S257",62,"gut"
"L1S257",67,"gut"
"L1S257",19,"gut"
"L1S257",58,"gut"
"L1S257",62,"gut"
"L5S203",215,"tongue"
"L5S203",5,"tongue"
"L5S203",343,"tongue"
"L5S203",203,"tongue"
"L5S203",159,"tongue"
"L5S203",460,"tongue"
"L5S203",190,"tongue"
"L5S203",74,"tongue"
"L5S203",60,"tongue"
"L5S203",44,"tongue"
"L5S203",14,"tongue"
"L5S203",101,"tongue"
"L5S203",14,"tongue"
"L5S203",36,"tongue"
"L5S203",11,"tongue"
"L5S203",6,"tongue"
"L5S203",13,"tongue"
"L5S203",29,"tongue"
"L5S203",38,"tongue"
"L5S203",25,"tongue"
"L5S203",16,"tongue"
"L6S68",1741,"tongue"
"L6S68",500,"tongue"
"L6S68",1215,"tongue"
"L6S68",895,"tongue"
"L6S68",137,"tongue"
"L6S68",185,"tongue"
"L6S68",5,"tongue"
"L6S68",42,"tongue"
"L6S68",224,"tongue"
"L6S68",133,"tongue"
"L6S68",77,"tongue"
"L6S68",20,"tongue"
"L6S68",36,"tongue"
"L6S68",132,"tongue"
"L6S68",35,"tongue"
"L6S68",8,"tongue"
"L6S68",115,"tongue"
"L6S68",5,"tongue"
"L6S68",62,"tongue"
"L6S68",31,"tongue"
"L6S68",36,"tongue"
"L6S68",50,"tongue"
"L6S68",51,"tongue"
"L6S68",61,"tongue"
"L6S68",5,"tongue"
"L3S378",3,"rightpalm"
"L3S378",369,"rightpalm"
"L3S378",201,"rightpalm"
"L3S378",117,"rightpalm"
"L3S378",35,"rightpalm"
"L3S378",61,"rightpalm"
"L3S378",34,"rightpalm"
"L3S378",31,"rightpalm"
"L3S378",31,"rightpalm"
"L3S378",6,"rightpalm"
"L3S378",18,"rightpalm"
"L3S378",16,"rightpalm"
"L3S378",9,"rightpalm"
"L3S378",22,"rightpalm"
"L3S378",16,"rightpalm"
"L4S112",55,"rightpalm"
"L4S112",335,"rightpalm"
"L4S112",1381,"rightpalm"
"L4S112",124,"rightpalm"
"L4S112",1399,"rightpalm"
"L4S112",9,"rightpalm"
"L4S112",670,"rightpalm"
"L4S112",19,"rightpalm"
"L4S112",50,"rightpalm"
"L4S112",200,"rightpalm"
"L4S112",73,"rightpalm"
"L4S112",296,"rightpalm"
"L4S112",206,"rightpalm"
"L4S112",59,"rightpalm"
"L4S112",34,"rightpalm"
"L4S112",185,"rightpalm"
"L4S112",77,"rightpalm"
"L4S112",101,"rightpalm"
"L4S112",125,"rightpalm"
"L4S112",188,"rightpalm"
"L4S112",61,"rightpalm"
"L4S112",14,"rightpalm"
"L4S112",97,"rightpalm"
"L4S112",114,"rightpalm"
"L4S112",45,"rightpalm"
"L4S112",25,"rightpalm"
"L4S112",33,"rightpalm"
"L4S112",99,"rightpalm"
"L4S112",11,"rightpalm"
"L4S112",65,"rightpalm"
"L4S112",43,"rightpalm"
"L4S112",70,"rightpalm"
"L4S112",143,"rightpalm"
"L4S112",16,"rightpalm"
"L4S112",87,"rightpalm"
"L4S112",40,"rightpalm"
"L4S112",32,"rightpalm"
"L4S112",68,"rightpalm"
"L4S112",203,"rightpalm"
"L4S112",60,"rightpalm"
"L4S112",27,"rightpalm"
"L4S112",5,"rightpalm"
"L4S112",30,"rightpalm"
"L4S112",12,"rightpalm"
"L4S112",51,"rightpalm"
"L4S112",16,"rightpalm"
"L4S112",27,"rightpalm"
"L4S112",26,"rightpalm"
